Muon#,Angle [deg],energy [GeV],entry [mm],exit [mm]
186,0.638011533102503,132.74804827168796,[-2.87476995 -5.13456864  6.61306651],[ 5.03842221 -2.54388647 -6.67303353]
188,4.852104945836182,189.07878127571,[-4.39621593 -1.46173935  6.61421177],[-5.94850152 -1.77916834  5.04665123]
200,3.5138033274494886,420.74276316241736,[-2.16924722 -1.33297622  6.61002743],[-6.03146127 -1.34571772 -4.00991478]
201,2.7178081567062184,149.03322003218665,[-4.13005642  1.72739659  6.62197535],[ 1.33720631  2.34496239 -6.67347325]
203,5.83411107460833,129.12396172721716,[ 1.28048935  6.03333749 -1.37476998],[-1.02192798  5.5076083  -6.67826914]
216,6.2203516833287935,15.647041760016332,[4.18226714 0.31817783 6.61229611],[ 3.34785614  0.20982542 -6.67613542]
218,3.184275340048436,91.54726907297241,[ 1.92716467 -3.0758737   6.61532908],[ 1.3599221  -3.27639891 -6.67846491]
219,4.304065516549406,137.61388486738358,[ 2.76041367 -1.67609787  6.62970096],[-2.28936816 -5.76546192  1.12757754]
220,2.9441167535003196,73.74274872049368,[-2.74221136 -1.82079299  6.61560874],[-0.13418146 -0.89837067 -6.67744682]
221,3.7193739590822443,435.7478682830011,[ 5.05839045 -3.51426162  1.99043673],[ 0.32320465 -4.19887525 -6.67941719]
222,0.6849201497366236,116.92236130170214,[-0.50049138 -0.42492703  6.62408954],[ 5.56629816  2.71721086 -2.96598697]
224,5.791789226477526,48.06331789921261,[ 1.02684197 -1.12359999  6.62739144],[-4.87228315 -3.81316144 -5.87453638]
231,4.41253254546289,4.1368139108619895,[ 6.06977938 -1.02094891  4.35631893],[-4.04133647 -4.69390043 -6.22703788]
233,3.876457496755193,104.19361777092979,[-1.39431682  2.80691839  6.62014715],[-5.65002801  2.53645999  0.27295189]
237,2.315740044060616,505.6488063953437,[-0.12577559  0.86198656  6.62198647],[ 5.1225991   3.48269424 -0.51743489]
239,5.014277538162343,443.14497088958564,[-2.39324014 -0.96289334  6.62556576],[-5.91243087 -1.8453779   2.93968736]
244,1.3882488457027495,31.348775335297265,[ 0.55222195 -2.52062021  6.61017469],[ 5.68531073 -2.47788085  1.39035563]
247,5.120330983285072,218.24289534151666,[-3.79118849 -2.27727261  6.61963772],[-5.40235389 -3.03582525  4.86443937]
253,4.93351562791664,17.884367643373736,[0.7431824  5.15016722 6.61066775],[-4.23151739  4.51688854  1.51181582]
