Muon#,Angle [deg],energy [GeV],entry [mm],exit [mm]
702,2.016430974116023,416.8087527381943,[ 1.2977875  -5.04331606  6.62575486],[ 5.51208622 -2.82101304  1.9553298 ]
708,3.357585588699495,735.4718116860994,[-0.0442662  -0.89373291  6.61328303],[-2.89118331 -2.08516543 -6.6703661 ]
712,4.431554569170512,133.09313309494152,[-3.23836232 -1.22081833  6.62935163],[-6.03319745 -1.4664408   3.72056328]
713,4.5790020037434,5.33602649391312,[ 2.19976368 -4.58758103  6.62398628],[-2.35847685 -5.7245344   2.02489264]
714,2.1677477502551934,20.458218247622245,[ 1.98451573 -1.92868833  6.62655697],[ 6.13917002 -0.88338343  1.60311394]
717,5.878053949271753,191.39204668501554,[ 5.61818648  2.53410857 -6.07257461],[ 5.37624217  2.49978763 -6.68642915]
718,4.287164551364213,106.05180560269649,[ 5.63596177 -2.46612335  0.55419582],[-0.95367436 -3.7974774  -6.67964119]
724,1.7446529375191095,23.929122347078724,[ 3.97478469 -0.91075474  6.61984809],[ 6.15704567 -0.77413309  4.40418593]
725,5.977762226483516,271.1221840016751,[2.1423161  5.58408823 6.62039978],[-1.85469929  5.32691803 -6.67211507]
726,0.8235563127933472,52.29842842909055,[-6.09819521 -0.79337029 -0.36333359],[-1.46068543  1.44545242 -6.6851928 ]
729,5.572618643940067,717.6816066862378,[-1.92603062  4.27727374  6.62981639],[-4.98306659  3.66463454  1.94300434]
732,6.080483201566526,523.767327272358,[-1.97304798  5.8464104  -5.24720978],[-2.26070343  5.65365726 -6.67607904]
735,0.5511051557562383,324.62594778587186,[-1.47313274 -5.97504501  5.138077  ],[ 4.71115932  0.80112415 -6.67236721]
736,2.361503455381851,292.3456468044682,[3.47407072 2.37089525 6.63181232],[5.27045028 3.2443947  4.07775265]
745,5.357704042285836,64.01715385559278,[ 3.133885    5.292458   -5.44987194],[ 2.14928939  5.01624633 -6.68229514]
752,0.394638833385657,184.60179716429278,[3.2211382  2.83287944 6.61626546],[5.00869241 3.61988304 1.96692519]
756,1.2946665655404546,111.53622652158181,[-4.55977053 -4.12735411  2.57420541],[ 4.34455478 -3.24744145 -6.68071671]
758,3.8212839981509235,524.9956941766757,[-3.51835509 -2.59724627  6.62411948],[-5.47098525 -2.88457014  3.51757128]
760,1.2332512384897025,288.72106004032617,[1.91911218 5.52576676 6.6146232 ],[2.36507629 5.73036385 6.14198855]
768,0.7964750331768216,52.82513036065958,[ 1.17909858 -6.01201529  6.62623314],[ 4.60788845 -4.116965    1.83002366]
770,3.5024512193022157,522.6015883590106,[ 0.58798909 -4.90357529  6.61998825],[-0.9751015  -6.10287935  2.1929432 ]
771,0.15159484643753923,316.63408959097455,[3.54433618 1.86544634 6.62901833],[ 5.55442335  2.22346156 -6.68150563]
779,2.3422273581334907,577.6564651049382,[-2.58941458 -5.58880333 -4.74526588],[-1.20326396 -5.35850867 -6.67876293]
782,0.29746982518316106,75.27990681727326,[-3.95968148 -4.72901613 -5.4468595 ],[-3.59630163 -4.72205088 -6.68663177]
783,1.4738218237956568,229.9454044710907,[ 0.19248575 -6.14885655 -0.3935743 ],[ 5.81341189 -2.13422402 -6.04103413]
785,6.102589420114918,131.51108615005077,[-1.279323   -3.29775749  6.62810782],[-3.02797896 -5.38505195 -3.10742742]
787,0.8264706060912905,67.42336576500992,[2.24297635 2.90727705 6.62024783],[5.35534535 3.10605576 2.38886902]
790,2.999839840051619,55.555944211548166,[ 2.08525496 -2.15070255  6.63091411],[ 3.96482713 -1.03260454 -6.67310122]
794,0.1775557401125901,49.03831329783009,[ 3.43687958 -2.98809354  6.61049261],[ 5.42194235 -2.9603376  -4.6284088 ]
796,1.9672964188586943,351.8515299204733,[ 5.34123739 -1.98577302  6.61208257],[ 5.87601892 -1.97039465  6.03232223]
797,2.3241158068799166,390.71121117614234,[-5.57987588  2.59898508  6.1662458 ],[ 3.79640212  4.36337531 -6.68814577]
799,6.007446928384952,873.4968804209672,[ 4.52403366  4.18666768 -3.34010317],[ 3.61710745  4.06701492 -6.67123721]
803,2.6862386256717787,16.472230761230225,[3.84310596 0.52694921 6.62604073],[6.14022038 0.71065929 1.40271799]
805,0.3520158976567618,349.92046853398796,[ 2.74156061 -5.52645498  6.60120925],[ 5.04861386 -3.55576328 -0.08995921]
807,1.69558372021122,70.04486362989651,[4.98893774 2.82267353 6.61235647],[5.47328577 2.93007086 6.12421272]
808,4.146123522370678,34.7893025084063,[-3.36288311 -4.07538212  6.62805698],[-4.5737602  -4.17815814  5.19321612]
811,0.6662970958271633,1605.077311220418,[1.23759789 4.26146244 6.63046083],[2.76980099 5.53162426 4.15148597]
815,6.130152443539631,537.6931411698706,[ 1.95942951 -4.09654981  6.62400336],[-0.06753433 -4.39448635 -6.6731216 ]
816,0.7058947176333494,214.4374487471664,[ 4.00235301 -3.30927652  6.62951685],[ 5.89443515 -1.87494362  3.71285521]
821,5.680681990078028,38.158815736665694,[-3.63755038  0.58523743  6.61116722],[-6.16447727  0.53084435  2.15220011]
823,0.9036534475154354,236.12199530319015,[4.86782085 2.84180586 6.63181232],[5.37649848 3.08915316 5.98430424]
830,3.7057213725502427,2.13193688905081,[ 2.09389399 -5.8034759  -2.80742419],[ 0.02617396 -6.07330093 -6.67463642]
831,2.1361392503363206,154.12805829355744,[-1.12764824 -0.34103398  6.62497254],[ 6.00412122  1.55731497 -1.82093899]
832,5.751287712236513,170.4647079887051,[-0.70390789  4.75719992  6.62498562],[-4.25365304  4.48285023 -0.37414154]
837,5.4937031837974635,103.82254319834396,[-4.94727192 -0.3456103   6.6196679 ],[-6.15587121 -0.71497086  4.91738821]
840,4.565690552217012,388.59535540510956,[ 1.68591706  5.92126463 -3.3567619 ],[-1.59240321  4.74726429 -6.6706767 ]
844,3.565517160148244,49.309393921446976,[-1.26202813  4.20867967  6.62026118],[-5.70415634  2.37828901 -4.17888394]
845,5.981198084152432,10.445234190273178,[3.80063881 4.85382734 2.58048918],[ 1.04378733  4.72120008 -6.68879059]
846,0.2939051041622539,89.93636368324326,[1.1340089  0.44606649 6.6219432 ],[ 4.98744564  1.86920479 -6.67989362]
851,6.058675344127521,25.793649976173313,[3.60096431 1.37567441 6.62070736],[ 0.6399762   0.81077787 -6.67941418]
